id,MPD,MTD,0.15,0.3,0.6,1.18,2.36,4.75,9.5,13.2,16,19,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Entropy1,Entropy2,Entropy3,Entropy4,Entropy5,Entropy6,Entropy7,Entropy8,Entropy9,BPF,EPP,FCN,DBC-FD,FD,AR,e
10101,0.86643,0.94945,0.28128,0.52503,0.17721,0.011244,0.0039763,0.0011487,0.00011045,0,0,0,2.95E+07,8.75E+07,1.20E+08,1.40E+08,1.51E+08,1.55E+08,1.15E+08,1.06E+08,1.23E+10,4.7037,5.801,5.8276,5.5843,5.455,5.4509,5.5249,5.4087,5.1388,67.389926,14.976557,6728,2.329484431,1.906527748,0.412331,1.16999304
10102,0.87535,0.91874,0.27354,0.53343,0.17665,0.01139,0.0038984,0.00098005,0.00010889,0,0,0,3.14E+07,9.20E+07,1.22E+08,1.42E+08,1.47E+08,1.34E+08,1.22E+08,8.65E+07,2.06E+10,4.9494,5.7872,5.6703,5.6073,5.5146,5.5775,5.3234,5.3399,4.902,65.549447,15.478754,6716,2.177669767,1.719135595,0.407372,1.1763835
10103,0.8784,0.97418,0.27512,0.53381,0.17565,0.010266,0.0041959,0.00091585,4.26E-05,0,0,0,3.29E+07,9.20E+07,1.25E+08,1.48E+08,1.57E+08,1.53E+08,1.27E+08,1.01E+08,2.32E+10,5.0059,5.8211,5.7842,5.7898,5.7732,5.4158,5.6985,5.6884,5.2417,65.383733,15.473435,6740,2.098116817,1.758485167,0.407554,1.18062699
10104,0.89059,0.94321,0.27444,0.53228,0.17826,0.010374,0.0037492,0.00076689,0.00012781,0,0,0,4.23E+07,1.02E+08,1.30E+08,1.45E+08,1.52E+08,1.40E+08,1.22E+08,1.07E+08,2.14E+10,5.0657,5.8253,5.9825,5.8873,5.601,5.5296,5.7958,5.5314,5.3163,63.973931,16.153543,6911,2.152029357,1.683087635,0.407036,1.17430413
10105,0.82385,0.89994,0.27621,0.53032,0.17785,0.010593,0.0039776,0.0009944,4.32E-05,2.16E-05,0,0,3.75E+07,9.44E+07,1.19E+08,1.32E+08,1.42E+08,1.27E+08,9.92E+07,8.28E+07,2.08E+10,5.0225,5.8411,5.8098,5.8248,5.7214,5.7412,5.6141,5.5309,4.7646,65.050101,16.162542,6945,2.15830925,1.687760004,0.409816,1.17223549
10106,0.87034,0.96971,0.27004,0.53678,0.17655,0.011697,0.0039133,0.00092969,4.32E-05,2.16E-05,2.16E-05,0,3.75E+07,9.25E+07,1.17E+08,1.33E+08,1.36E+08,1.32E+08,1.11E+08,9.27E+07,2.10E+10,5.0178,5.7487,5.7008,5.8436,5.5582,5.6181,5.5173,5.7715,5.3146,65.168854,15.856871,6941,2.149882011,1.672163227,0.4078,1.17173123
10107,0.98893,1.0482,0.27692,0.53199,0.17634,0.0097725,0.0037301,0.0011125,0.00013088,0,0,0,4.39E+07,1.02E+08,1.24E+08,1.37E+08,1.39E+08,1.35E+08,1.23E+08,9.94E+07,2.33E+10,5.0355,5.8133,5.847,5.6249,5.71,5.6472,5.3183,5.6067,4.8281,64.428608,16.01779,6593,2.091342402,1.748430251,0.407191,1.16392541
10108,0.93934,1.0128,0.28174,0.52763,0.17515,0.010512,0.0036696,0.001252,4.32E-05,0,0,0,4.25E+07,9.64E+07,1.15E+08,1.25E+08,1.30E+08,1.26E+08,1.06E+08,8.39E+07,2.32E+10,5.1053,5.8658,5.5502,5.7245,5.5443,5.5834,5.8134,5.178,5.1844,64.405914,16.687018,7003,2.070076314,1.705460905,0.413209,1.17208648
10109,1.0413,1.0297,0.28318,0.52563,0.17415,0.011554,0.0044919,0.0009502,4.32E-05,0,0,0,2.58E+07,7.79E+07,1.09E+08,1.30E+08,1.42E+08,1.35E+08,1.17E+08,9.40E+07,2.39E+10,4.8689,5.6913,5.8333,5.835,5.3033,5.6336,5.5013,5.6217,5.0718,66.327924,15.053115,7198,2.07339047,1.712464608,0.416602,1.15410101
10201,0.8468,0.91966,0.2742,0.53028,0.1794,0.01115,0.0039774,0.00097805,2.17E-05,0,0,0,3.53E+07,9.39E+07,1.27E+08,1.50E+08,1.62E+08,1.47E+08,1.41E+08,1.11E+08,2.21E+10,5.0571,5.7256,5.739,5.821,5.6311,5.7926,5.6132,5.4556,5.365,66.136476,15.424989,7146,2.138928331,1.667694915,0.409061,1.16386175
10202,0.87218,0.97462,0.27102,0.53647,0.17676,0.010519,0.004147,0.0010367,4.32E-05,0,0,0,3.72E+07,1.02E+08,1.37E+08,1.61E+08,1.73E+08,1.67E+08,1.29E+08,1.15E+08,2.41E+10,5.2055,5.7977,5.7939,5.7353,5.6038,5.6236,5.5943,5.4715,5.1511,65.962215,15.482869,6924,2.092299494,1.746496737,0.40597,1.15890825
10203,0.9247,0.99994,0.27586,0.53156,0.17654,0.011431,0.0035386,0.0010508,2.14E-05,0,0,0,3.19E+07,9.11E+07,1.25E+08,1.50E+08,1.62E+08,1.48E+08,1.32E+08,1.10E+08,2.26E+10,4.964,5.931,5.8127,5.8676,5.8219,5.6454,5.7241,5.312,5.0473,66.011821,15.240727,6938,2.130905258,1.645048896,0.405192,1.16713476
10204,0.99973,1.0359,0.2772,0.52762,0.17909,0.010939,0.0039777,0.00099443,0.00017679,0,0,0,3.57E+07,9.56E+07,1.30E+08,1.53E+08,1.60E+08,1.61E+08,1.35E+08,1.06E+08,2.31E+10,5.0661,5.8223,5.8592,5.8149,5.7341,5.682,5.265,5.6888,5.6772,66.514643,15.073407,6663,2.127563769,1.785668258,0.414528,1.16808105
10205,0.93875,1.0701,0.27565,0.52974,0.17868,0.010912,0.0039816,0.00096849,6.46E-05,0,0,0,3.84E+07,1.03E+08,1.38E+08,1.59E+08,1.70E+08,1.62E+08,1.34E+08,9.80E+07,2.25E+10,4.8853,5.8336,5.8195,5.7555,5.6247,5.5838,5.7787,5.6222,5.3398,65.450888,15.660004,7178,2.134408737,1.665732379,0.412594,1.16743672
10206,0.94406,1.0063,0.2777,0.53136,0.17562,0.010439,0.0039041,0.00097602,0,0,0,0,3.49E+07,9.33E+07,1.23E+08,1.43E+08,1.53E+08,1.47E+08,1.31E+08,9.89E+07,2.42E+10,5.1943,5.9367,5.8022,5.8091,5.6111,5.63,5.3509,5.6414,5.23,64.952771,15.582915,6985,2.083370187,1.72636552,0.410262,1.1701504
10207,0.94165,1.0955,0.28398,0.52579,0.17475,0.010689,0.0035703,0.001139,8.76E-05,0,0,0,3.54E+07,9.23E+07,1.20E+08,1.41E+08,1.54E+08,1.51E+08,1.32E+08,9.59E+07,2.46E+10,5.0726,5.7917,5.8688,5.9043,5.8049,5.6855,5.585,5.7948,5.5263,66.984804,15.270508,6958,2.088374346,1.726066428,0.421944,1.1630621
